à,at; in; to; with
saut à la perche (n.m.),pole vault
saut à l'élastique (n.m.),bungee jumping
saut de haies (n.m.),hurdling
saut d'obstacles (n.m.),show jumping
saut en longueur (n.m.),long jump
saut en parachute (n.m.),parachuting; parachute jump
saut périlleux (n.m.),somersault
sauté,sauté
saute-mouton,leapfrog
sauter (v.),jump; fry
sauter à l'élastique,bungee jump
sauterelle (n.f.),grasshopper
sauvage,wild
sauvegarde (n.f.),maintenance; back-up
sauvegarder (v.),save
sauver (v.),save; reserve; salvage
sauvetage (n.m.),life buoy; life jacket; lifeboat
s'avancer (v.),move forward; get ahead; commit oneself
savane (n.f.),savanna; grassland
s'aventurer (v.),venture (out)
s'avérer (v.),turn out; prove
saveur (n.f.),flavour (UK); flavor (US)
Savoie (n.pr.f.),Savoie
savoir (n.m.),knowledge
savoir (v.),know
savon (n.m.),soap
savourer (v.),savour (UK); savor (US)
saxophone (n.m.),saxophone
scandale (n.m.),scandal; scene
scandaliser (v.),shock; scandalize
scanner (n.m.),scanner
scarabée (n.m.),beetle
sceller (v.),seal; embed
scénario (n.m.),scenario; screenplay; script
scène (n.f.),stage
sceptique,sceptic
schéma (n.m.),diagram; outline
science (n.f.),science; erudition
science-fiction (n.f.),science fiction
sciences humaines (n.f.pl.),social sciences
scientifique (double genre),scientist
scientifique,scientific [adjective]
scone (n.m.),scone
scooter (n.m.),scooter
scorpion (n.m.),scorpion
scrupuleusement,scrupulously
sculpter (v.),sculpt
sculpteur (n.m.),sculptor
sculpture (n.f.),sculpture
se,oneself; each other
se baigner (v.),have a bath; swim; go swimming
se balader (v.),go for a walk
se balancer (v.),swing
se battre (v.),fight
se blesser (v.),injure oneself; hurt oneself
se brosser (v.),brush
se brûler (v.),burn oneself
se cacher (v.),hide
se caractériser (v.),be characterized by
se casser (v.),break
se chamailler (v.),squabble
se charger (v.),look after; take care of
se coiffer (v.),comb one's hair
se compliquer (v.),get complicated
se composer de,be composed of
se concentrer (v.),concentrate
se connaître (v.),know each other
se connecter (v.),connect oneself
se consacrer à,devote oneself to
se contenter (v.),content oneself with
se convertir (v.),be converted to
se coucher (v.),lie down; go to bed
se couper (v.),cut oneself
se couvrir (v.),cloud over; cover oneself; wrap up
se créer (v.),create
se croire (v.),believe oneself to be
se croiser (v.),cut across
se cultiver (v.),educate oneself; be grown
se débarrasser (v.),get rid of
se débrouiller (v.),get by
se décider (v.),make up one's mind
se déclarer (v.),break out; take a stand; say
se déclencher (v.),go off; start
se décourager (v.),lose heart; become discouraged
se découvrir (v.),discover
se décrire (v.),describe oneself
se défendre (v.),protect oneself; defend oneself
se dégager (v.),clear up
se déguiser (v.),dress up; disguise oneself
se délecter (v.),enjoy; delight in; thoroughly
se demander (v.),ask for; request; wonder
se démocratiser (v.),become more democratic; become available to anyone
se démoder (v.),go out of fashion
se dépêcher (v.),be quick; hurry
se déplacer (v.),move
se dérouler (v.),take place; proceed
se désaltérer (v.),quench one's thirst
se destiner (v.),intend to go into; decide
se détacher (v.),untie oneself; unhook oneself; break away
se détendre (v.),relax
se devoir de,be one's duty to
se dire (v.) [penser],think; claim
se dire (v.) [s'employer],tell; say
se dire (v.) [prétendre],claim; tell oneself
se diriger (v.),come up to; go up to
se disputer (v.),argue; fight over
se distraire (v.),amuse oneself; enjoy oneself
se documenter (v.),research; gather information on
se donner de la peine (v.),take the trouble
se dorer (v.),sunbathe
se douter (v.),suspect
se douter de,guess; suspect
se dresser (v.),stand up; rise
se faire (v.),take place; become; get + inf
se faire agresser,be assaulted
se faire des amis,make friends
se faire du souci,worry; have concern for
se faire la bise,kiss
se faire mal,hurt; hurt oneself
se faire oublier,keep a low profile
se faire piéger,let oneself be tricked
se faire sentir,be felt; manifest itself
se faire soigner,get a treatment
se faire une idée,get some idea
se familiariser (v.),familiarize oneself
se faner (v.),wither; fade
se fier à,trust
se figer (v.),freeze; congeal; coagulate
se fixer (v.),settle
se frayer (v.),force one's way through
se frayer un chemin,force one's way through
se frotter (v.),rub oneself; scrub oneself
se garder de,take care not to do sth
se garer (v.),park
se gâter (v.),change for the worse
se gêner (v.),hesitate; get in each other's way
se généraliser (v.),become widespread
se hasarder (v.),risk doing sth
se hâter (v.),hurry
se heurter (v.),come up against
se jeter (v.),throw oneself
se jouer (v.),be on; be played
se jurer (v.),vow
se laisser (v.),let
se laisser porter,let; leave
se laisser tenter,be tempted by
se lancer (v.),throw oneself; throw at one another
se lasser (v.),grow tired; wear thin; flag
se laver (v.),wash
se lever (v.),get up; stand up; rise
se maintenir (v.),remain; last
se manifester (v.),come forward; appear
se maquiller (v.),put on one's make up
se méfier (v.),be careful; be wary; be suspicious of
se mesurer (v.),measure
se métamorphoser (v.),transform; metamorphose
se mettre (v.),put on
se mettre à,start to; begin to
se mettre à dos,put sb's back up
se mettre à l'abri,take cover; shelter
se mettre à l'aise,make oneself comfortable
se mettre à table,start to; begin to; sit down at the table
se mettre au régime,go on a diet
se mettre d'accord,come to an agreement; agree (on)
se mettre dans tous ses états,get into a state; go off the deep end
se mettre en contact,put in touch
se mettre en route,start
se modifier (v.),change
se montrer (v.),appear; prove; show oneself (to be)
se moquer (v.),tease; mock
se morfondre (v.),mope
se mouvoir (v.),move
se multiplier (v.),grow in number; increase; multiply
se munir de,equip with
se nouer (v.),tighten up; be formed; start
se nourrir (v.),eat; feed oneself
se noyer (v.),drown
se passer (v.),happen; take place
se passer de,do without
se passer qqch,pass sth
se peigner (v.),comb
se pencher (v.),lean over; bend down
se perdre (v.),get lost
se perfectionner (v.),improve oneself
se permettre (v.),afford; afford to; allow oneself to
se placer (v.),put; place; seat; invest
se plaindre (v.),complain
se plaire (v.),take pleasure
se plonger (v.),dive; immerse oneself
se porter garant,vouch for
se poser (v.),land; arise; come up
se poursuivre (v.),continue
se pratiquer (v.),be played
se précipiter (v.),rush; speed up
se prendre (v.),catch on; get into a tangle
se prendre pour,see oneself as; fancy oneself as
se préoccuper de (v.),concern oneself with; worry about
se préparer (v.),get ready; prepare
se présenter (v.),appear; introduce oneself
se presser (v.),hurry
se priver (v.),deprive
se procurer (v.),obtain
se produire (v.),happen; appear
se prolonger (v.),go on; last
se promener (v.),go for a walk; walk
se prononcer (v.),declare; be pronounced
se propulser (v.),propel oneself; hurl oneself
se protéger (v.),protect oneself
se radoucir (v.),get warmer
se ranger (v.),get out of the way; stand aside; pull over; settle down
se rappeler (v.),remember
se rapprocher (v.),get closer
se rassembler (v.),gather
se rasseoir (v.),sit down again
se rassurer (v.),reassure oneself
se rattacher (v.),be connected with
se réaliser (v.),come true
se réchauffer (v.),warm up
se réfugier (v.),take refuge
se régaler (v.),have a delicious meal; have a wonderful time
se regarder (v.),look at; look at one another
se régler (v.),be adjusted
se regrouper (v.),gather; group together
se réjouir (v.),rejoice
se remettre (v.),get over
se remettre à,take up sth again
se remettre de,recover from
se remplir (v.),fill up with
se rencontrer (v.),meet
se rendre (v.),go to; give in; surrender
se rendre compte,realize
se renseigner (v.),inquire; find out; ask for information
se renverser (v.),tilt; overturn; capsize
se répandre (v.),spread
se reposer (v.),rest
se résigner (v.),resign oneself
se ressembler (v.),look alike; resemble each other
se restaurer (v.),have something to eat; take some refreshment
se rétablir (v.),recover
se retirer (v.),pull away; withdraw
se retourner (v.),turn over; turn around
se retrouver (v.),end up; meet (again); meet up (again)
se réunir (v.),meet
se réveiller (v.),wake up
se révéler (v.),turn out to be; prove
se revoir (v.),see each other again
se ruer (v.),rush
se ruiner (v.),ruin; bankrupt
se salir (v.),get dirty
se saluer (v.),say hello; say goodbye
se sauver (v.),escape; run away
se sentir (v.),feel; become aware; feel concerned
se serrer (v.),huddle together; hug each other
se serrer la ceinture,tighten one's belt
se serrer la main,shake hands
se servir (v.),serve oneself
se servir de,use
se situer (v.),be situated; be found
se soigner (v.),treat oneself; be treatable
se soumettre à,submit to
se souvenir (v.),remember; recall
se succéder (v.),follow one another
se suivre (v.),be in order; be consecutive; follow
se sustenter (v.),take sustenance
se taire  (v.),be silent; be quiet
se tenir (v.),hold on; be standing
se terminer (v.),end; draw to a close
se tourner (v.),to turn (right) round
se traduire (v.),result in; manifest itself in; find expression in
se transformer en,turn into; be transformed into
se tromper (v.),be wrong; be mistaken; get confused
se trouver (v.),find oneself; feel; be
se vendre (v.),be sold; sell
se voir (v.),see each other; imagine oneself
séance (n.f.),performance; meeting; sitting; session
seau (n.m.),bucket
sec,dry
s'échapper (v.),escape
sèche-cheveux (n.m.),hair-dryer
sèche-linge (n.m.),drier; tumble-dryer
sécher (v.),dry
sécheresse (n.f.),drought
séchoir (n.m.),drier
s'échouer (v.),run aground
second,second
secondaire,secondary
seconde (n.f.),second
Seconde Guerre mondiale (n.pr.f.),Second World War; World War II
s'écouler (v.),pass; elapse
secours (n.m.),emergency exit; help
secret,secret
secrétaire (double genre),secretary
secteur (n.m.),sector; district; area
sécurisé,secure
sécurité (n.f.),security; safety
séduire (v.),captivate; attract; seduce
s'effectuer (v.),be done; take place
seigle (n.m.),rye
seigneur (n.m.),lord
Seine (n.pr.f.),Seine
séisme (n.m.),earthquake; seism
seize,sixteen
séjour (n.m.) [vacances],stay
séjour (n.m.) [salle],living room
séjourner (v.),stay; lie
sel (n.m.),salt
sélection (n.f.),selection
sélectionner (v.),select; choose
s'élever (v.),rise
self-service (n.m.),self-service cafeteria
s'éloigner (v.),go away; move away; stand back
selon,according to
semaine (n.f.),week
semaine sainte (n.f.),Holy Week
s'emballer (v.),bolt
s'embellir (v.),become more attractive
semblable,similar
sembler (v.),seem; look
s'embrasser (v.),kiss; embrace
semelle (n.f.),sole
semer (v.),sow; spread
séminaire (n.m.),seminar; seminary
semoule (n.f.),semolina
s'empêcher de (v.),refrain from
s'emplir (v.),fill with
s'emporter (v.),take away; lose one's temper
s'en aller,go; be off
s'en faire,worry
s'en sortir,escape
s'en tenir à,stick to
s'encombrer (v.),be overburdened with
s'endormir (v.),go to sleep; fall asleep
Sénégal (n.pr.m.),Senegal
sénégalais,Senegalese
s'énerver (v.),get worked up
s'enfoncer (v.),sink; penetrate
s'enfuir (v.),escape; run away
s'engager (v.),promise oneself; commit oneself
s'engouffrer (v.),rush; sweep; surge; sink
s'ennuyer (v.),get bored
s'enrhumer (v.),catch cold
sens (n.m.) [sensation],sense
sens (n.m.) [direction],direction
sens (n.m.) [signification],meaning
sens interdit (n.m.),one-way street
sens unique (n.m.),one-way street
sensation (n.f.),feeling
sensationnel,great; sensational
sensibilisation (n.f.),consciousness raising
sensibiliser (v.),increase awareness
sensoriel,sensory
sensuel,sensual
s'entendre (v.),agree; get on
sentier (n.m.),path; footpath
sentiment (n.m.),feeling; emotion
sentimental,sentimental
sentir (v.),feel; smell
s'entraîner (v.),train
s'envoler (v.),fly away; blow off
s'envoyer (v.),exchange
séparation (n.f.),separation
séparé,separated; divided
séparer (v.),separate; divide
sept,seven
septembre (n.m.),September
septennat (n.m.),seven-year term
septième,seventh
septième art (n.m.),cinema
septième ciel (n.m.),seventh heaven
s'équiper (v.),equip oneself
serein,clear; serene
sereinement,serenely; calmly
sérénité (n.f.),serenity; equanimity
Serge Gainsbourg (n.pr.),Serge Gainsbourg
sergent (n.m.),sergeant
série (n.f.),series
sérieusement,seriously; badly
sérieux,serious; reliable
seringue (n.f.),syringe
serpent (n.m.),snake
serpillière (n.f.),floor cloth
serré,tight
serrer (v.),hold tight; clench
serrer la main,shake somebody's hand
serrure (n.f.),lock
serveur (n.m.) [hôtellerie],waiter
serveur (n.m.) [informatique],server
serviabilité (n.f.),helpfulness
serviable,helpful; obliging
service (n.m.),service; duty; favour
service après-vente (n.m.),after-sales service
service d'étage (n.m.)   room,service
serviette (n.f.),towel; briefcase; napkin; paper napkin
serviette de bain (n.f.)   ba,th towel
servir (v.),serve; use; help
servir à,be used for
servir de,be used as
sésame (n.m.),sesame
s'essuyer (v.),dry oneself
set (n.m.),set
s'établir (v.),develop; settle; set up
s'éteindre (v.),go out
s'étendre (v.),stretch from; stretch as far as; spread
s'éterniser (v.),drag out; stay for ever
s'étirer (v.),stretch
s'étonner (v.),surprise; astonish
seuil (n.m.),doorstep; threshold
le seul,the only
seul,alone; single; only
seulement,just; only
s'évanouir (v.),faint
s'éventrer (v.),burst open
Séville (n.pr.),Seville
s'excuser (v.),apologize
s'exercer (v.),practise
s'expliquer (v.),become clear
s'exposer (v.),expose to
s'exprimer (v.),express oneself
s'habituer (v.),get used
s'habituer à (v.),get used to
short (n.m.),shorts
si [hypothèse],if
si [intensité],so
si [affirmation],yes
si ... que,so . . . that
si bien que,so much so
si ce n'est,if not; apart from; except
si nécessaire,if necessary
si possible,if possible
siècle (n.m.),century
siècle des Lumières (n.m.),the Age of Enlightenment
siège (n.m.) [objet],seat
siège (n.m.) [maison mère],head office
le sien,hers; his; its
sieste (n.f.),siesta; nap
siffler (v.),whistle
sigle (n.m.),acronym
signal (n.m.),signal; signal flare
signaler (v.),report; point out; notify; warn
signalisation (n.f.),signposting
signaliser (v.),signpost; mark out and light [runway]
signature (n.f.),signature
signe (n.m.),sign; gesture
signer (v.),sign
signification (n.f.),meaning; definition
signifier (v.),mean; signify
s'il te plaît,please
s'il vous plaît,please
silence (n.m.),silence
silencieusement,in silence; silently
silencieux,quiet; silent
silhouette (n.f.),silhouette; figure
sillonner (v.),cross; furrow
s'illuminer (v.),light up
s'imaginer (v.),imagine; think
s'immobiliser (v.),stop
s'impatienter (v.),get impatient
simple,easy; simple; single
simplement,just; simply
simplifié,simplified
simplifier (v.),simplify; make easier
s'imposer (v.),be essential; impose onself; be imperative
simultanément,simultaneously
sincérité (n.f.),sincerity
s'informer (v.),inquire; ask
Singapour (n.pr.),Singapore
singe (n.m.),monkey
singulier,strange; peculiar; remarkable; singular
s'initier (v.),familiarize with
sinon,otherwise
s'inquiéter (v.),worry
s'inscrire (v.),enrol; put one's name down
s'insérer (v.),fit (into)
s'inspirer (v.) (+ être),be inspired by
s'installer (v.),settle; settle down; install oneself
s'instruire (v.),learn; educate oneself
s'intensifier (v.),increase; intensify
s'intéresser (v.),be interested in; take an interest in
s'interroger (v.),wonder
s'intituler (v.),be called; be entitled
sirène (n.f.),mermaid; siren
sirop (n.m.),syrup
sirop d'érable (n.m.),maple syrup
siroter (v.),sip
site (n.m.),site; area; spot; setting
situation (n.f.),situation
situé,located; situated
situer (v.),locate; situate; place
six,six
sixième,sixth [adjective]
sixième (n.m.),sixth
sixième sens (n.m.),sixth sense
ski (n.m.) [chaussures],ski [shoes]
ski (n.m.) [sport],ski [sport]
ski acrobatique (n.m.),freestyle skiing
ski alpin (n.m.),downhill skiing; down-hill skiing
ski artistique (n.m.),artistic skiing
ski de fond (n.m.),cross-country trail; cross-country skiing
ski nautique (n.m.),water-skiing
skiable,skiable
skier (v.),ski
skieur (n.m.),skier
skipper (n.m.),skipper
slalomer (v.),slalom; zigzag
slogan (n.m.),slogan
Slovaquie (n.pr.f.),Slovakia
smoking (n.m.),dinner suit (UK); tuxedo (US)
snack-bar (n.m.),snack bar
sobre,sober; simple; temperate
s'occuper (v.),look after; take care of; be in charge of; keep oneself busy
social,social
société (n.f.),company; society; club
soda (n.m.),fizzy drink (UK); soda (US)
soeur (n.f.),sister
soeurs Tatin,Tatin sisters
sofa (n.m.),sofa
s'offrir (v.),present itself; buy oneself; give oneself
soi,oneself
soie (n.f.),silk
soigné,immaculate; carefully produce
soigner (v.),treat; look after
soigneusement,carefully; neatly
soin (n.m.),care
soir (n.m.),evening; night
soirée (n.f.),evening
soit [affirmation],okay
soit ... soit,either . . . or
soixante,sixty
soixante-dix,seventy
soixantième,sixtieth
sol (n.m.),ground; floor
solaire,solar
soldat (n.m.),soldier
soldat inconnu (n.m.),the Unknown Soldier
solde (n.m.),balance; sales
sole (n.f.),sole
soleil (n.m.),sun
soleil couchant (le),setting sun
solide,solid; strong
solidement,firmly; solidly; securely
solidité (n.f.),solidity; strength; firmness
soliste (double genre),soloist
solitaire (n.m.),solitaire
solliciter (v.),seek; solicit
solution (n.f.),solution; answer
sombre,dark
sombrer (v.),sink; go down
sommaire,perfunctory; cursory
somme (n.f.),sum; amount
sommeil (n.m.),sleep
sommelier (n.m.),wine waiter
sommet (n.m.),top
Sommet Francophone,the French-speaking summit
son (n.m.),sound
son,his; her; its
sonde (n.f.),sounding lead
sonner (v.),ring; go off; strike
sophistiqué,sophisticated
sorbet (n.m.),sorbet
Sorbonne (n.pr.f.),Sorbonne
sorcier (n.m.),witch
s'organiser (v.),oganise oneself
s'orienter (v.),get one's bearings
sorte (n.f.),kind; sort
sortie (n.f.),way out; excursion; exit
sortie de secours (n.f.),emergency exit
sortir (v.) (+ être),take out; get out
sortir (v.),take out; get out; come out; go out
sou (n.m.),money
souci (n.m.),worry; concern
soucoupe (n.f.),saucer
soucoupe volante (n.f.),flying saucer
soudain,suddenly
Soudan (n.pr.m.),Sudan
soudoyer (v.),bribe
souffle (n.m.),breath
souffler (v.),blow; blow out
souffrir (v.),suffer
souhait (n.m.),wish; desire
souhaitable,desirable
souhaiter (v.),wish; want; hope
soulager (v.),relieve
soulever (v.),raise; lift (up); stir; bring up
souligner (v.),underline; outline
soumettre (v.),subject; put down; submit
soupçonner (v.),suspect
soupe (n.f.),soup
souper (v.),have dinner
souplesse (n.f.),flexibility
source (n.f.),source; spring
sourd,deaf; muffled
souriant,smiling
sourire (n.m.),smile
sourire (v.),smile
souris (n.f.) [animal],mouse
souris (n.f.) [informatique],mouse
sous,under; in; within
sous forme de,in the form of; as
sous les yeux,in front of sb
sous l'influence de,under the influence of
sous-marin,underwater
sous-sol (n.m.),basement
sous-vêtement (n.m.),underwear
souscrire (v.),subscribe; take out; sign
soustraction (n.f.),subtraction; removal
soutenir (v.),support; maintain
souterrain (n.m.),underground
souterrain,underground [adjective]
souvenir (n.m.),memory; souvenir
souvent,often
s'oxygéner (v.),get some fresh air
spacieux,large; spacious; roomy
spaghetti (n.m.),spaghetti
spécial,special
spécialisé,specialized
spécialiste (double genre),specialist; expert
spécialiste,specialist [adjective]; expert [adjective]
spécialité (n.f.),speciality; chef's speciality; local dish
spécifique,specific; particular
spécimen (n.m.),specimen; sample
spectacle (n.m.),show
spectaculaire,spectacular
spectateur (n.m.),spectator
spéculation (n.f.),speculation
spéculer (v.),speculate
Sphinx (n.m.),Sphinx
spinnaker (n.m.),spinnaker
splendide,gorgeous
sponsor (n.m.),sponsor
sponsoriser (v.),sponsor
spontané,spontaneous
sport (n.m.),sport
sportif (n.m.),sportsman
sportif,sporty; sporting; athletic; competitive
sports d'hiver (n.m.pl.),winter sports
spot publicitaire (n.m.),commercial
sprinter (v.),sprint
sprinteur (n.m.),sprinter; fast finisher
squash (n.m.),squash
Sri Lanka (n.pr.m.),Sri Lanka
stabilisation (n.f.),stabilization
stable,stable
stade (n.m.),stadium; stage
stade de Roland-Garros (n.m.),Roland-Garros Stadium
stagner (v.),stagnate
stand (n.m.),stand
standardiste (double genre),switchboard operator
star (n.f.),star
start-up (n.f.),start-up
station (n.f.) [ville],station; resort
station (n.f.),station; taxi rank
station balnéaire (n.f.),seaside resort
station météo (n.f.),meteorological station
station-service (n.f.),petrol station (UK); gas station (US)
stationnement (n.m.),parking
stationner (v.),park
statistique (n.f.),statistics
statue (n.f.),statue
statue de la Liberté (n.f.),statue of liberty
statuette (n.f.),statuette
statut (n.m.),status
steak (n.m.),steak
steward (n.m.),steward
stock (n.m.),stock
stockage (n.m.),storage
stocker (v.),stock; store
Stonehenge (n.pr.),Stonehenge
stop,stop [interjection]
stop (n.m.),stop sign
stopper (v.),stop; halt
Strasbourg (n.pr.),Strasbourg
stratégie (n.f.),strategy
stress (n.m.),stress
stressé,stressed
strict,strict
structure (n.f.),structure; building
studio (n.m.),studio
stupide,stupid
style (n.m.),style
styliste (double genre),designer; stylist
stylo (n.m.),pen
stylo à bille (n.m.),ballpoint (pen)
subir (v.),suffer; undergo; sustain; put up with
sublime,sublime
submerger (v.),submerge; flood
subsaharien,sub-Saharian
subsister (v.),survive; remain; live; subsist
substance (n.f.),substance
subvention (n.f.),grant; subsidy
subversif,subversive
succéder (v.),succeed; follow
succès (n.m.),success
succession (n.f.),succession
succulent,succulent
succursale (n.f.),branch; outlet
sucette (n.f.),lollipop
sucre (n.m.),sugar
sucré,sweetened
sucrerie (n.f.),sweet; confectionery
sucres lents (n.m.),slow-burning carbohydrates
Sud (n.m.),South
sud (n.m.),south
sud-est (n.m.),south-east
sud-ouest (n.m.),south-west
Suède (n.pr.f.),Sweden
suffire (v.),be enough
suffisamment,enough
suffisant,enough
suggérer (v.),suggest
suggestion (n.f.),suggestion
Suisse (n.pr.f.),Switzerland
Suisse (double genre),Swiss
suite (n.f.),continuation; series; sequence
suite à,further to
suivant (n.m.),following
suivi (n.m.),follow-up; monitoring
suivre (v.),follow; attend; keep up
sujet (n.m.),subject; topic
sujet à,be subject to
super,great
superbe,beautiful; superb; glorious
supercherie (n.f.),hoax; trickery
superflu,superfluous; unnecessary
supérieur (n.m.),superior
supérieur,superior [adjective]
supériorité (n.f.),superiority
Superman (n.pr.),Superman
supermarché (n.m.),supermarket
superviser (v.),supervise; oversee
supplément (n.m.),supplement; extra charge; extra; additional charge
supplémentaire,additional; extra
supplice (n.m.),torture; agony
support (n.m.),support; prop; stand; aid
supporter (v.),stand; bear
supporter (n.m.),supporter
supposer (v.),suppose; imagine
supposition (n.f.),supposition; assumption
suppositoire (n.m.),suppository
suppression (n.f.),deletion; withdrawal
supprimer (v.),suppress; remove; delete
sur,on; above; towards
sûr,sure; certain; safe
sur mesure,made-to-measure
sur place,there; on the spot
surcoût (n.m.),additional cost; expenditure
surf (n.m.),surfing; surf
surf des neiges (n.m.),surfing; surf; go surfing; snowboard
surface (n.f.),surface; area
surfer (v.),surf
surfeur (n.m.),surfer
surgelé,frozen
surgelé (n.m.),frozen food
surmené,overworked
surnom (n.m.),nickname
surnommer (v.),nickname
surprenant,surprising
surprendre (v.),surprise
surpris,surprised
surprise (n.f.),surprise
surréalisme (n.m.),surrealism
surréaliste,surrealist
surtout,above all; especially
surtout pas,no way
surveiller (v.),monitor; watch; keep an eye on
survenir (v.) (+ être),take place; occur
survêtement (n.m.),tracksuit
survivre (v.),survive
survoler (v.),fly over; skim over
susceptible,touchy; sensitive
susciter (v.),arouse; create
sushi (n.m.),sushi
suspect,suspicious
suspendu,hang; suspended
suspense (n.m.),suspense
suspicieux,suspicious
suspicion (n.f.),suspicion; suspiciousness
suture (n.f.),suture
s'y prendre,set about it
s'y retrouver,end up; meet (again); meet up (again)
Sydney (n.pr.),Sydney
sylviculture (n.f.),forestry
symbole (n.m.),symbol
symboliser (v.),symbolize
sympathique,nice
sympathiser (v.),make friends with; get on with
symptôme (n.m.),symptom
syndicat (n.m.),union; association
synonyme (n.m.),synonym
synthèse (n.f.),summary; synthesis
synthétique,synthetic
systématiquement,systematically
système (n.m.),system
système d'exploitation (n.m.),operating system
T.G.V. (train à grande vitesse) (n.m.),French high-speed train
t-shirt (n.m.),T-shirt
T.V.A. (taxe sur la valeur ajoutée) (n.f.),VAT (Value Added Tax)
tabac (n.m.),tobacco
table (n.f.),table
tableau (n.m.),board
tablette (n.f.),tablet; shelf; bar
tablier (n.m.),apron; overall; smock
tabouret (n.m.),stool
tache (n.f.),spot; mark
tâche (n.f.),task; work
taché,stained; marked
tacher (v.),stain; mark
tâcher de,try to do
tact (n.m.),tact; sense of touch
Tahar Ben Jelloun (n.pr.),Tahar Ben Jelloun
taie (n.f.),pillowcase
taille (n.f.),size; height; waist; edge
taille-crayon (n.m.),pencil sharpener
tailler (v.),prune; cut; carve; sharpen
tailleur (n.m.),tailor; suit
taire (v.),conceal
Taiwan (n.pr.),Taiwan
talent (n.m.),talent
talon aiguille (n.m.),stiletto heel
talon d'Achille (n.m.),Achilles' heel
talon de chèque (n.m.),cheque stub (UK); check stub (US)
tambour (n.m.),drum
Tamise (n.pr.f.),(the) Thames
tampon (n.m.),stopper; stamp; plug
tant,so much
tant ... que,as well as
tant de,so much; so many
tant et si bien que,so much so that
tant mieux,so much the better; all the better
tant pis,never mind; too bad
tant que,as long as; until
tante (n.f.),aunt
tantôt,sometimes; soon
tapas (n.f.pl.),tapas
tape (n.f.),pat; slap
taper (v.),hit; slap; type
tapis (n.m.),carpet
tapis roulant (n.m.),conveyor belt
tapisserie (n.f.),tapestry; wallpaper
tard,late
tardivement,late; later
tarif (n.m.),rate; price list; fee; tariff
tarte (n.f.),tart
tarte à la crème (n.f.)    cu,stard pie; slapstick
tarte aux pommes (n.f.),apple tart
tarte Tatin (n.f.),tarte Tatin; upside-down apple cake
tartelette (n.f.),tartlet
tartiflette (n.f.),cheese ham and potato bake
tartine (n.f.),slice of bread
Tartuffe,Tartuffe
tasse (n.f.),cup
taux (n.m.),rate
taux de change (n.m.),exchange rate
taux d'intérêt (n.m.),interest rate
taxe (n.f.),tax; duty
taxi (n.m.),taxi
te,you; yourself
technicien (n.m.),technician
technique,technical
technique (n.f.),technique
technologie (n.f.),technology
technologique,technological
tee-shirt (n.m.),T-shirt
tel,such a
tel que,such as; like
télé (n.f.),TV; telly
télécabine (n.f.),cable car
Télécarte (n.f.),phone card
télécharger (v.),download
télécommande (n.f.),remote control
télécommunication (n.f.),telecommunications
télécopie (n.f.),fax
télécopieur (n.m.),fax machine
télégramme (n.m.),telegram; wire; cable
télépayer (v.),pay over the Internet
téléphérique (n.m.),cable car
téléphone (n.m.),telephone
téléphoner (v.),phone; call; ring (UK)
téléphonie (n.f.),telephony
téléphonique,telephone + noun; phone + noun
télésiège (n.m.),chair lift; ski lift
téléski (n.m.),ski tow
téléviseur (n.m.),television; TV set
télévision (n.f.),television
tellement,so; so much
tellement... que,so much . . . that; so . . . that
témérité (n.f.),recklessness
température (n.f.),temperature
tempéré,temperate
tempête (n.f.),storm; hailstorm
temple (n.m.),temple
temporaire,temporary
temps (n.m.),time; weather; tense
tendance (n.f.),tendency; trend
tendre (v.),stretch; hold out
tendre moitié (n.f.),better half; little woman
tendu,tense; strained; stretched
tenir (v.),hold; keep; run
tenir à,be eager to; be attached to
tenir au courant,know; be aware; keep sb posted
tenir chaud,keep warm
tenir compagnie,keep sb company
tenir compte de,take into account
tenir de (v.),have sth of
tenir une promesse,keep a promise
tennis (n.m.),tennis
ténor (n.m.),tenor
tension (n.f.),pressure; voltage
tentant,tempting
tentation (n.f.),temptation
tentative (n.f.),try; attempt
tente (n.f.),tent
tenter (v.),yield to temptation; tempt; try
tenter sa chance,try one's luck
tenue (n.f.),dress; position; appearance
terme (n.m.),word; term; deadline; end
terminal (n.m.),terminal
terminer (v.),complete; finish
terminus (n.m.),terminus
terrain (n.m.),soil; piece of land; ground
terrasse (n.f.),terrace
terrasser (v.),strike down; crush
Terre (n.pr.f.),The Earth
terre (n.f.),ground; earth; soil
terre battue (n.f.),hard court
terre cuite,terracotta
terrestre,land; terrestrial
terrible,terrible
terriblement,terribly
territoire (n.m.),territory
territorial,territorial
terroir (n.m.),soil; country
test (n.m.),test
tester (v.),test; try
tête (n.f.) [commencement],at the end of an aisle
tête (n.f.) [crâne],head
tête à tête (n.m.),in private; all together
tête dans les nuages,the head in the clouds
tête de gondole (n.f.),at the end of an aisle
Tex Mex (n.m.),Tex Mex
texte (n.m.),text; wording
textile (n.m.),textile; fabric; tissue
textile,textile
Thaïlande (n.pr.f.),Thailand
Thanksgiving (n.pr.),Thanksgiving
thé (n.m.),tea
théâtre (n.m.),theatre (UK); theater (US)
théière (n.f.),teapot
thème (n.m.),topic; theme
théorie (n.f.),theory
théorique,theoretic; theoretical
thermal,thermal
Thermolactyl,thermal
Thésée (n.pr.),Theseus
thon (n.m.),tuna fish
thym (n.m.),thyme
ticket (n.m.),ticket; receipt
tiède,warm; lukewarm
le tien,yours
